naslov,avtor,nova poglavja,nove besede,poglavja,besede,zadnja objava,prva objava,teden zadnje objave,quest,zaključen 
The Case of the Disappeared Villain,stabbyunicorn,8,31000,8,31000,2019-01-12,2019-11-25,2019-01-12,False,True
Chance,LKADity,1,4900,1,4900,2019-01-14,2019-01-13,2019-01-12,False,True
Bakuda&apos;s Terrible Very Bad No Good Day,ZebraVonClaw,1,1000,1,1000,2019-01-13,2019-01-12,2019-01-12,False,True
The EtchJetty Parable,EtchJetty,1,2000,1,2000,2019-01-12,2019-01-12,2019-01-12,False,True
It Starts With One,Discreet,4,10000,4,10000,2019-01-12,2019-12-13,2019-01-12,False,True
Rouge Powers,PuzzleRaven,1,1700,1,1700,2019-01-13,2019-01-12,2019-01-12,False,True
subpoena,TheFreakWithTheWings,1,502,1,502,2019-01-14,2019-01-13,2019-01-12,False,True
That&apos;s How Mafia Works,EtchJetty,1,1500,1,1500,2019-01-12,2019-01-12,2019-01-12,False,True
Animus,altearther,1,5200,7,61000,2019-01-12,2019-04-14,2019-01-12,False,False
Chlorokinetic,GreviousPridakArbiter,1,1700,4,5800,2019-01-12,2015-07-16,2019-01-12,False,False
Dominion,Materia-Blade,2,7500,22,81000,2019-01-12,2015-05-17,2019-01-12,False,False
Legatus,RagnarokAscendant,7,11000,7,11000,2019-01-12,2019-07-07,2019-01-12,False,False
Outwit,Materia-Blade,1,2800,6,12000,2019-01-12,2014-07-24,2019-01-12,False,False
Solitude,Reactor 2,1,3100,4,9900,2019-01-12,2019-02-02,2019-01-12,False,False
Unlimited Potential,Guardsman_Sparky,2,5400,35,50000,2019-01-12,2015-09-25,2019-01-12,False,False
War Angel,LuxSola,1,2100,15,61000,2019-01-12,2017-06-17,2019-01-12,False,False
Worm - Justice For All,SeerKing,1,5100,3,14000,2019-01-12,2019-05-09,2019-01-12,False,False
The Mockshow Show!,Rhydeble,1,1100,62,103000,2019-01-13,2017-07-02,2019-01-12,True,False
To The Vector...,Rocag,1,810,22,71000,2019-01-14,2019-02-12,2019-01-12,True,False
Abaddon Born(e),PublicLee Speaking,1,3400,106,526000,2019-01-13,2017-10-04,2019-01-12,False,False
Adaptation,ShayneT,3,8800,58,170000,2019-01-12,2019-08-27,2019-01-12,False,False
All the Time to Lose,SoulSong,2,3700,8,13000,2019-01-12,2019-12-02,2019-01-12,False,False
Any Means Necessary,Eiri Fllyn,2,4800,20,58000,2019-01-12,2019-08-25,2019-01-12,False,False
August Bravery,JonBerry,2,3100,64,103000,2019-01-13,2019-09-17,2019-01-12,False,False
A Bad Name,Potato Nose,78,206000,78,206000,2019-01-13,2017-03-03,2019-01-12,False,False
A Beginner&apos;s Guide to Stealing Brockton Bay,Plasmadon,1,4300,26,76000,2019-01-12,2019-02-12,2019-01-12,False,False
Bloody Stars,SirWill,6,13000,6,13000,2019-01-12,2019-04-04,2019-01-12,False,False
Bringing a Pickaxe to a Power Fight,Akallas von Aerok,3,3000,11,12000,2019-01-12,2019-12-29,2019-01-12,False,False
Câest La Vie,PseudoSim,1,5400,20,91000,2019-01-14,2017-06-30,2019-01-12,False,False
Camera Shy,TheGreatGimmick,17,97000,17,97000,2019-01-12,2019-09-28,2019-01-12,False,False
Caught In Your Web,MissionSword,1,5300,3,13000,2019-01-14,2019-01-08,2019-01-12,False,False
Cazador,NemotheUnknown,1,3300,15,42000,2019-01-14,2019-05-30,2019-01-12,False,False
Chum for brains,QuickDeath007,1,1500,9,12000,2019-01-12,2019-07-18,2019-01-12,False,False
Classical Hero,strangebloke,1,1100,4,10000,2019-01-12,2017-05-08,2019-01-12,False,False
Conference Call,Pachycephalosaur,10,63000,10,63000,2019-01-12,2019-09-03,2019-01-12,False,False
The Creeping Silence,Old Amsterdam,1,2900,3,10000,2019-01-14,2019-01-09,2019-01-12,False,False
Deputy Director,Reyemile,1,3400,20,87000,2019-01-12,2017-10-25,2019-01-12,False,False
Diary of a Professional Knockoff,keira,2,3400,9,36000,2019-01-12,2019-07-18,2019-01-12,False,False
A different Type of Match,TheTwoMind,1,1100,5,9500,2019-01-12,2019-01-08,2019-01-12,False,False
The Driver of Brockton Bay,Tale Swapper,17,49000,17,49000,2019-01-12,2019-09-29,2019-01-12,False,False
The Dullahan,Cryptix,1,1100,5,4800,2019-01-12,2019-10-11,2019-01-12,False,False
East of Eden: A New Twist on an Old Cycle,Husr,17,31000,17,31000,2019-01-13,2019-12-24,2019-01-12,False,False
F6 Support Group,Carabe197,1,2300,5,7000,2019-01-13,2019-01-05,2019-01-12,False,False
Forsaken Escalation,Morgan Arc,1,2500,17,40000,2019-01-13,2019-09-02,2019-01-12,False,False
Grail,Blinktwice13,38,125000,38,125000,2019-01-12,2019-11-21,2019-01-12,False,False
The Grim Noir,RavensDagger,1,1600,6,13000,2019-01-12,2019-12-28,2019-01-12,False,False
H &amp; T Prank the Multiverse,Steve2,1,6500,5,39000,2019-01-12,2019-11-22,2019-01-12,False,False
Harmony,Viev,1,7500,43,168000,2019-01-12,2017-07-22,2019-01-12,False,False
Heart to Heart,AeroVox,1,2700,5,12000,2019-01-12,2019-01-01,2019-01-12,False,False
Heist,ScienceGeeky,1,2900,5,12000,2019-01-12,2019-11-23,2019-01-12,False,False
Hive Daughter,PlateGlassArmour,56,138000,56,138000,2019-01-12,2019-07-21,2019-01-12,False,False
How to Train Your Endbringer,RavensDagger,36,106000,36,106000,2019-01-12,2019-09-30,2019-01-12,False,False
How Vista and Hookwolf Saved Christmas,cg99,5,3600,9,6100,2019-01-12,2019-01-11,2019-01-12,False,False
The Hungering Serpent,KaiserdeDiez,1,2200,3,8800,2019-01-12,2019-09-27,2019-01-12,False,False
In the Traveler&apos;s Light,SniperFrog,2,8200,36,129000,2019-01-14,2016-11-30,2019-01-12,False,False
Intrepid,Cerulean,1,3000,192,686000,2019-01-12,2015-04-25,2019-01-12,False,False
Kid Win&apos;s Big Break,NihilisticJanitor,2,2700,22,26000,2019-01-15,2019-07-21,2019-01-12,False,False
Kommandant,TheVoiden,2,5900,5,11000,2019-01-12,2019-01-08,2019-01-12,False,False
Lets tone that back a bit,Heavy READER,1,4500,5,16000,2019-01-12,2017-07-25,2019-01-12,False,False
Little Birds of Brockton Bay,Dis Lexic,1,4600,7,32000,2019-01-12,2019-12-30,2019-01-12,False,False
The Man Loved by the Stars,King Jerry,1,3300,5,20000,2019-01-14,2019-12-19,2019-01-12,False,False
Mauling Snarks,CmptrWz,187,888000,187,888000,2019-01-12,2017-09-04,2019-01-12,False,False
Mirrored Eyes,FantasticalContrarian,1,5500,9,31000,2019-01-14,2019-10-24,2019-01-12,False,False
MissionSword&apos;s Caught In Your Web,babagaia,3,20000,3,20000,2019-01-12,2019-12-30,2019-01-12,False,False
Nitpicker&apos;s Method,Akallas von Aerok,1,709,17,25000,2019-01-14,2019-07-22,2019-01-12,False,False
Officer Hess,freebiewitz,1,4000,15,48000,2019-01-12,2019-06-03,2019-01-12,False,False
Overpowered Much?,Akallas von Aerok,1,820,35,68000,2019-01-12,2017-08-21,2019-01-12,False,False
Pixel Perfect,Brilliger,1,3100,5,12000,2019-01-12,2019-12-30,2019-01-12,False,False
R.EVOlution,Ukilhim,1,555,9,9900,2019-01-12,2019-11-20,2019-01-12,False,False
Rage Will Set Me Free,MarekGutkowski,1,1900,35,94000,2019-01-12,2019-03-27,2019-01-12,False,False
Rainbows and Necromancy,sagitatius,8,33000,8,33000,2019-01-14,2019-09-26,2019-01-12,False,False
Rank,The_Incorruptible,1,5900,43,163000,2019-01-12,2019-04-04,2019-01-12,False,False
Reality Bites Worm,Selector,1,3400,34,76000,2019-01-12,2019-05-29,2019-01-12,False,False
Save The Bay: Fixing the City with Organized Crime,Stravick Ovmahn,3,5300,112,214000,2019-01-12,2019-04-20,2019-01-12,False,False
Scrap Heap,TheFreakWithTheWings,1,416,11,13000,2019-01-13,2019-05-04,2019-01-12,False,False
Sentinels of Earth Bet,TheWonko,1,4100,2,8600,2019-01-12,2019-12-17,2019-01-12,False,False
Silver,SquiddlePitch,1,1800,3,5600,2019-01-15,2019-01-02,2019-01-12,False,False
Siren Song,AnOutrageousAmountOfOwls,26,125000,26,125000,2019-01-12,2019-04-11,2019-01-12,False,False
Split,The Laurent,1,3200,83,543000,2019-01-12,2015-12-12,2019-01-12,False,False
Suffer No More,Eiri Fllyn,1,2400,6,14000,2019-01-13,2019-10-04,2019-01-12,False,False
Sunspot,misha906,1,3100,11,38000,2019-01-12,2019-11-07,2019-01-12,False,False
"Taylor Hebert, magical girl At your service",Aurora Moon,1,3400,22,63000,2019-01-14,2019-10-24,2019-01-12,False,False
Taylor Varga,mp3.1415player,259,1500000,259,1500000,2019-01-12,2016-09-20,2019-01-12,False,False
Taylor&apos;s Arcana,Angeloid,1,1200,5,8800,2019-01-13,2019-11-11,2019-01-12,False,False
That What Walks,fallacies,1,5000,12,31000,2019-01-12,2019-12-17,2019-01-12,False,False
Titanfall,Selector,1,3900,14,61000,2019-01-12,2019-10-04,2019-01-12,False,False
Toaru Majutsu no Taylor-chan: A Certain Mythic Archmage,Writer of 2814,5,36000,5,36000,2019-01-13,2019-12-25,2019-01-12,False,False
Veder Universe,Flutters Is Shy,1,1800,32,52000,2019-01-12,2019-03-03,2019-01-12,False,False
The Weaver Option,Antony444,1,13000,19,166000,2019-01-12,2016-08-23,2019-01-12,False,False
Weighed Down,TheGreebGoblin &amp; LacksCreativity,1,4900,6,30000,2019-01-12,2019-10-03,2019-01-12,False,False
Well Traveled,Argentorum,2,2100,70,149000,2019-01-14,2016-02-16,2019-01-12,False,False
What is Time,BlueFlameMasta,2,11000,41,183000,2019-01-14,2019-05-05,2019-01-12,False,False
Wish Me Well,ensou,2,494,4,887,2019-01-12,2019-01-02,2019-01-12,False,False
Worm: More Than Meets The Eye,Metallix666,1,4200,111,506000,2019-01-14,2015-01-27,2019-01-12,False,False
Alchemical Solutions,Gromweld,2,3100,244,1100000,2019-01-12,2014-01-22,2019-01-12,True,False
Born in the Bay,ericwinter,60,53000,60,53000,2019-01-12,2019-07-30,2019-01-12,True,False
Chromatic Quest,Tascion,1,5200,19,98000,2019-01-12,2019-08-26,2019-01-12,True,False
A Conjuror&apos;s journey,PieceThruWar,1,1900,358,444000,2019-01-12,2017-06-29,2019-01-12,True,False
Bioluminescence,The Puerile Bibliophile,2,3400,2,3400,2019-01-10,2019-01-08,2019-01-05,False,False
The Creeping Silence,Old Amsterdam,1,4300,1,4300,2019-01-10,2019-01-09,2019-01-05,False,False
A different Type of Match,TheTwoMind,3,6000,3,6000,2019-01-05,2019-01-08,2019-01-05,False,False
The Drunken ramblings of a Magical Girl Mascot,Ckosacranoid,1,2800,1,2800,2019-01-05,2019-01-05,2019-01-05,False,False
F6 Support Group,Carabe197,3,2800,3,2800,2019-01-06,2019-01-05,2019-01-05,False,False
For the Horned Ratâs Chosen,Krieg cormac,1,1200,1,1200,2019-01-05,2019-01-05,2019-01-05,False,False
Heater,Copyrightdragon,1,1100,1,1100,2019-01-06,2019-01-06,2019-01-05,False,False
Hope Casts the Shadow of Burden Behind,copperpatina,1,934,1,934,2019-01-05,2019-01-04,2019-01-05,False,False
How Vista and Hookwolf Saved Christmas,cg99,9,6100,9,6100,2019-01-05,2019-01-05,2019-01-05,False,False
In The End,kirsant,1,4400,1,4400,2019-01-05,2019-01-04,2019-01-05,False,False
Kommandant,TheVoiden,4,8600,4,8600,2019-01-10,2019-01-08,2019-01-05,False,False
A Worm Fic,TheCompiler,4,9100,4,9100,2019-01-10,2019-01-09,2019-01-05,False,False
Wormifieds,Isebas,2,4800,2,4800,2019-01-08,2019-01-08,2019-01-05,False,False
The Case of the Disappeared Villain,stabbyunicorn,8,31000,8,31000,2019-01-07,2019-11-25,2019-01-05,False,True
Last Call :: One Round on the House,T0PH4T &amp; themanwhowas,19,17000,19,17000,2019-01-09,2019-12-25,2019-01-05,False,True
The Dating Habits of Useless Lesbians,Tamoline,2,6200,2,6200,2019-01-06,2019-12-30,2019-01-05,False,True
Moontree Hill,Discreet,1,2300,1,2300,2019-01-05,2019-01-04,2019-01-05,False,True
Shatterbird is my mother and I don&apos;t know how to deal with it,d4nte,1,786,1,786,2019-01-05,2019-01-05,2019-01-05,False,True
SOMEONE IS IN THIS-A HOUSE,EtchJetty,1,223,1,223,2019-01-06,2019-01-05,2019-01-05,False,True
StoryCrafteer&apos;s pile of nonsense,StoryCrafteer,10,2800,10,2800,2019-01-09,2019-09-25,2019-01-05,False,True
Classical Hero,strangebloke,1,2300,3,9600,2019-01-05,2017-05-08,2019-01-05,False,False
Hive Daughter,PlateGlassArmour,5,12000,51,125000,2019-01-05,2019-07-21,2019-01-05,False,False
The Hungering Serpent,KaiserdeDiez,1,3700,2,6500,2019-01-10,2019-09-27,2019-01-05,False,False
Nitpicker&apos;s Method,Akallas von Aerok,2,1800,16,25000,2019-01-05,2019-07-22,2019-01-05,False,False
Stark Imprint,Arthur Hansen,1,2700,10,33000,2019-01-05,2019-06-14,2019-01-05,False,False
Terrier,S0ngD0g13,1,1000,11,13000,2019-01-07,2019-04-02,2019-01-05,False,False
Unreality,Jsyrin,1,67,23,24000,2019-01-08,2019-03-18,2019-01-05,False,False
Unsung Heroes: Closing the Book,Zaralann,1,10000,5,45000,2019-01-08,2017-11-30,2019-01-05,False,False
A Champion in Earth Bet,sun tzu,1,3100,35,165000,2019-01-10,2015-07-07,2019-01-05,True,False
Abaddon Born(e),PublicLee Speaking,104,517000,104,517000,2019-01-06,2017-10-04,2019-01-05,False,False
Adaptation,ShayneT,2,5600,55,161000,2019-01-09,2019-08-27,2019-01-05,False,False
All the Time to Lose,SoulSong,1,1600,6,9900,2019-01-07,2019-12-02,2019-01-05,False,False
Always By Your Side,Vereor Nox,1,1100,12,19000,2019-01-05,2019-12-16,2019-01-05,False,False
Annihilation,Jsyrin,1,1000,3,3200,2019-01-08,2019-12-28,2019-01-05,False,False
Archer,Fencer,9,40000,9,40000,2019-01-08,2019-12-03,2019-01-05,False,False
Are You Ready?,Shokhk,3,2200,3,2200,2019-01-05,2019-01-02,2019-01-05,False,False
August Bravery,JonBerry,1,1000,61,97000,2019-01-07,2019-09-17,2019-01-05,False,False
A Bad Name,Potato Nose,1,3700,77,202000,2019-01-06,2017-03-03,2019-01-05,False,False
Blanket aka The Diaper Changer,ScottotheUnwise,54,173000,54,173000,2019-01-05,2019-06-17,2019-01-05,False,False
Bloody Stars,SirWill,6,13000,6,13000,2019-01-05,2019-04-04,2019-01-05,False,False
Brawn and Brains,Belial666,1,1700,18,27000,2019-01-05,2019-10-26,2019-01-05,False,False
Bringing a Pickaxe to a Power Fight,Akallas von Aerok,7,7700,7,7700,2019-01-05,2019-12-29,2019-01-05,False,False
By One Sting,Vereor Nox,1,1100,17,19000,2019-01-05,2019-02-26,2019-01-05,False,False
Conference Call,Pachycephalosaur,5,29000,5,29000,2019-01-06,2019-09-03,2019-01-05,False,False
Crisis on Infinite Bets,acerak,4,7400,15,30000,2019-01-07,2019-10-05,2019-01-05,False,False
Cycle Eternal,ManMagnificent,2,7500,22,73000,2019-01-07,2019-07-07,2019-01-05,False,False
Danganronpa: Primal Fear,7th_The_Writer,1,3900,5,31000,2019-01-05,2019-09-03,2019-01-05,False,False
A daring synthesis,Ironypus,35,83000,35,83000,2019-01-07,2019-01-19,2019-01-05,False,False
Deputy Director,Reyemile,1,6200,19,84000,2019-01-09,2017-10-25,2019-01-05,False,False
Don&apos;t Hate The Player,daniel_gudman,1,5100,5,16000,2019-01-09,2019-12-07,2019-01-05,False,False
The Driver of Brockton Bay,Tale Swapper,1,2400,16,45000,2019-01-05,2019-09-29,2019-01-05,False,False
East of Eden: A New Twist on an Old Cycle,Husr,15,28000,15,28000,2019-01-10,2019-12-24,2019-01-05,False,False
Exodus,Zaru &amp; Ld1449,1,2500,32,78000,2019-01-05,2017-01-20,2019-01-05,False,False
Fear The Reaper,ClockBlocker,1,2400,3,5600,2019-01-10,2019-10-30,2019-01-05,False,False
Gadget,Rhydeble,1,3900,76,229000,2019-01-07,2016-02-07,2019-01-05,False,False
The God of Thunder in Brockton Bay,phoenixfryre,1,3400,2,7000,2019-01-05,2019-01-03,2019-01-05,False,False
Grail,Blinktwice13,32,106000,32,106000,2019-01-05,2019-11-21,2019-01-05,False,False
Greg Veder vs The World,ZFighter18,1,2100,73,306000,2019-01-05,2017-12-30,2019-01-05,False,False
The Grim Noir,RavensDagger,1,3300,5,11000,2019-01-05,2019-12-28,2019-01-05,False,False
Harmony,Viev,7,28000,42,160000,2019-01-10,2017-07-22,2019-01-05,False,False
Heart to Heart,AeroVox,4,9300,4,9300,2019-01-05,2019-01-01,2019-01-05,False,False
Hebert: A Brockton Bay Story,Krieg Schnee,1,244,9,3400,2019-01-08,2019-10-11,2019-01-05,False,False
The Horned Ratâs Chosen,Krieg Schnee,1,1300,2,2600,2019-01-08,2019-11-19,2019-01-05,False,False
How to Train Your Endbringer,RavensDagger,1,3800,36,106000,2019-01-05,2019-09-30,2019-01-05,False,False
"I Woke Up As a Dungeon, Now What?",Aku-dono,29,141000,29,141000,2019-01-05,2019-03-01,2019-01-05,False,False
Improbable Happenstance,ThatNotDead,1,1500,9,9600,2019-01-09,2019-12-24,2019-01-05,False,False
Little Birds of Brockton Bay,Dis Lexic,1,6100,6,28000,2019-01-05,2019-12-30,2019-01-05,False,False
Mauling Snarks,CmptrWz,185,877000,185,877000,2019-01-05,2017-09-04,2019-01-05,False,False
The Meek Shall inherit the Universe!,axleonex,1,4300,5,13000,2019-01-05,2019-11-21,2019-01-05,False,False
Metastable,Tascion,1,2700,59,204000,2019-01-05,2018-01-01,2019-01-05,False,False
MissionSword&apos;s Caught In Your Web,babagaia,2,13000,2,13000,2019-01-07,2019-12-30,2019-01-05,False,False
Mixed Feelings,Kittius,73,730000,73,730000,2019-01-06,2016-02-04,2019-01-05,False,False
Mocha Latte Conversations,Xaiya,1,1600,13,21000,2019-01-07,2019-07-29,2019-01-05,False,False
Of Shards and Worms,WulfBerg,1,1200,4,6300,2019-01-08,2019-12-30,2019-01-05,False,False
Phantasmic Forge,EiriFllyn,1,2800,11,29000,2019-01-09,2019-09-10,2019-01-05,False,False
Pixel Perfect,Brilliger,1,2500,4,10000,2019-01-09,2019-12-30,2019-01-05,False,False
Prodigal Daughter,Ack,4,11000,4,11000,2019-01-06,2019-12-25,2019-01-05,False,False
Rank,The_Incorruptible,1,5200,42,157000,2019-01-09,2019-04-04,2019-01-05,False,False
Reality Bites Worm,Selector,1,2100,33,73000,2019-01-08,2019-05-29,2019-01-05,False,False
Remnant of a Worm,Half Masked,1,5500,9,53000,2019-01-09,2019-10-20,2019-01-05,False,False
Royal Gold,Milos,1,4200,22,55000,2019-01-05,2019-09-14,2019-01-05,False,False
Save The Bay: Fixing the City with Organized Crime,Stravick Ovmahn,3,5400,109,209000,2019-01-06,2019-04-20,2019-01-05,False,False
Scatterer,chickengun99,1,3600,16,56000,2019-01-08,2017-06-08,2019-01-05,False,False
Silence Falls,MrStarbuck,1,5100,5,33000,2019-01-09,2019-12-14,2019-01-05,False,False
Silver,SquiddlePitch,2,3800,2,3800,2019-01-07,2019-01-02,2019-01-05,False,False
Siren Song,AnOutrageousAmountOfOwls,26,125000,26,125000,2019-01-05,2019-04-11,2019-01-05,False,False
Snuggles the Symbiote,Rater202,1,3200,14,55000,2019-01-05,2019-02-24,2019-01-05,False,False
Sole Survivor without a radioactive wasteland to roam,freebiewitz,1,3400,39,137000,2019-01-10,2019-02-08,2019-01-05,False,False
Split,The Laurent,1,5300,82,540000,2019-01-09,2015-12-12,2019-01-05,False,False
Taylor Hebert and the Portrait of what Looked Like a Large Pile of Ash,Gourmet,1,1100,10,12000,2019-01-07,2019-10-19,2019-01-05,False,False
"Taylor Hebert, magical girl At your service",Aurora Moon,2,8300,21,60000,2019-01-05,2019-10-24,2019-01-05,False,False
Taylor Varga,mp3.1415player,259,1500000,259,1500000,2019-01-05,2016-09-20,2019-01-05,False,False
Taylor&apos;s Gotta Power,arromdee,1,3300,42,144000,2019-01-05,2016-12-09,2019-01-05,False,False
That What Walks,fallacies,1,6900,11,26000,2019-01-09,2019-12-17,2019-01-05,False,False
Timesnatch,keira,1,2100,3,5700,2019-01-08,2019-12-03,2019-01-05,False,False
Titanfall,Selector,1,3200,13,57000,2019-01-10,2019-10-04,2019-01-05,False,False
To Fill The Void,that1guy,1,6100,32,57000,2019-01-05,2017-10-12,2019-01-05,False,False
To Find Your Home,Grimnosh,2,2800,6,6300,2019-01-05,2019-12-18,2019-01-05,False,False
Toaru Majutsu no Taylor-chan: A Certain Mythic Archmage,Writer of 2814,4,27000,4,27000,2019-01-10,2019-12-25,2019-01-05,False,False
The Twilight Administrator,Hogg4,1,1100,6,6400,2019-01-08,2019-12-12,2019-01-05,False,False
The Uncertain Predictions of Oliver Hebert,Adogdayz,1,1300,8,13000,2019-01-08,2019-10-20,2019-01-05,False,False
Veder Universe,Flutters Is Shy,1,934,31,51000,2019-01-05,2019-03-03,2019-01-05,False,False
War Diary,Deadluck,2,2200,22,22000,2019-01-08,2019-12-03,2019-01-05,False,False
Well Traveled,Argentorum,1,3200,67,144000,2019-01-07,2016-02-16,2019-01-05,False,False
Whirlpool,Rikion Invictus,1,3500,7,30000,2019-01-05,2019-08-24,2019-01-05,False,False
Wish Me Well,ensou,1,196,2,393,2019-01-06,2019-01-02,2019-01-05,False,False
Worm Grand Order,SimpleScribe,10,68000,10,68000,2019-01-08,2017-11-10,2019-01-05,False,False
Worm the SI,Homura Kami,1,783,4,3600,2019-01-08,2019-11-25,2019-01-05,False,False
Alchemical Solutions,Gromweld,1,3000,242,1100000,2019-01-05,2014-01-22,2019-01-05,True,False
A Conjuror&apos;s journey,PieceThruWar,3,4700,355,440000,2019-01-05,2017-06-29,2019-01-05,True,False
Delusional Dancing Dragon,Qwaar,61,101000,61,101000,2019-01-05,2016-02-04,2019-01-05,True,False
Gacha Gacha Quest,lifeofgesture,3,1200,8,2900,2019-01-09,2019-12-31,2019-01-05,True,False
The Grave,Demetric,1,1100,24,27000,2019-01-10,2019-05-07,2019-01-05,True,False
[HALP] me!,Vhalidictes,7,18000,7,18000,2019-01-05,2019-01-03,2019-01-05,True,False
